Year,Quarter,Location Description,Data Source,Topic Description,Measure Description,Provision Group Description,Provision,Value,Citation,Enacted Date,Effective Date,Comments
1995,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1996,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,No Provision,,,,
1997,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
1998,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
1999,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2000,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2001,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2002,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2003,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2004,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2005,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2006,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2007,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2008,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2009,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2010,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2011,1,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,4,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,3,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
2012,2,Alabama,OSH,Legislation - Youth Access,Cigarette Sales,Restrictions,Purchase Prohibited,Yes,ALA CODE § 28-11-13,1997,1997,
